Spectroscopic Data at 13.069 min.		
Wavelength (nm)	p-Intensity	s-Intensity
973	0.324102	0.704384
974	0.324461	0.705231
975	0.325639	0.706506
976	0.325575	0.706732
977	0.326122	0.706468
978	0.325532	0.705989
979	0.325274	0.704705
980	0.324836	0.703864
981	0.324673	0.703218
982	0.323913	0.701442
983	0.323619	0.700497
984	0.324728	0.701986
985	0.32551	0.70347
986	0.326711	0.705567
987	0.327351	0.706273
988	0.327802	0.707817
989	0.328684	0.708644
990	0.329375	0.708666
991	0.329283	0.709595
992	0.329684	0.709072
993	0.328944	0.708336
994	0.329205	0.708728
995	0.329348	0.708492
996	0.328688	0.707193
997	0.329493	0.708428
998	0.330127	0.707959
999	0.331046	0.708502
1000	0.330851	0.708753
1006	0.326408	0.6979
1012	0.330404	0.70328
1018	0.333282	0.707708
1024	0.335571	0.710267
1030	0.338294	0.714437
1036	0.340896	0.717819
1042	0.343225	0.720933
1048	0.344832	0.722371
1054	0.345624	0.722241
1060	0.345647	0.720764
1066	0.347021	0.721778
1072	0.349277	0.725328
1078	0.352071	0.731066
1084	0.353593	0.731409
1090	0.35355	0.730618
1096	0.35371	0.72985
1102	0.35446	0.729586
1108	0.355466	0.730126
1114	0.356087	0.7285
1120	0.356608	0.729379
1126	0.357022	0.728217
1132	0.358979	0.730334
1138	0.361201	0.734257
1144	0.364109	0.738364
1150	0.36634	0.740878
1156	0.368875	0.745361
1162	0.369703	0.745123
1168	0.36979	0.74418
1174	0.369408	0.74263
1180	0.368127	0.739278
1186	0.36805	0.737917
1192	0.367129	0.73448
1198	0.368258	0.736685
1204	0.369716	0.738254
1210	0.372453	0.7426
1216	0.373976	0.745022
1222	0.375891	0.7479
1228	0.37695	0.748394
1234	0.378573	0.750885
1240	0.378778	0.749774
1246	0.3796	0.750649
1252	0.380744	0.752439
1258	0.381571	0.752413
1264	0.382344	0.752892
1270	0.381792	0.75078
1276	0.382147	0.751968
1282	0.381356	0.748971
1288	0.382399	0.749964
1294	0.383441	0.751735
1300	0.384682	0.752905
1306	0.386085	0.754689
1312	0.387988	0.757348
1318	0.388817	0.758556
1324	0.389025	0.757296
1330	0.389923	0.759362
1336	0.390139	0.75863
1342	0.391545	0.761004
1348	0.391995	0.76038
1354	0.392459	0.761069
1360	0.394276	0.764217
1366	0.394968	0.764539
1372	0.396289	0.766256
1378	0.396164	0.765767
1384	0.395406	0.763225
1390	0.395936	0.764028
1396	0.396903	0.764733
1402	0.398812	0.768002
1408	0.399226	0.767635
1414	0.399277	0.766859
1420	0.399499	0.766873
1426	0.398889	0.76502
1432	0.399277	0.765733
1438	0.399942	0.767057
1444	0.399182	0.764664
1450	0.400219	0.766283
1456	0.401137	0.767402
1462	0.402427	0.768276
1468	0.404031	0.770716
1474	0.405677	0.774214
1480	0.403978	0.770296
