Spectroscopic Data at 13.069 min.		
Wavelength (nm)	<e1>	<e2>
1612	-4.186156	36.756187
1618	-4.116957	36.952938
1624	-3.948205	37.156116
1630	-3.841008	37.376431
1636	-3.879548	37.535324
1642	-3.753043	37.623302
1648	-3.759065	37.974545
1654	-3.661762	38.088268
1660	-3.575701	38.320969
1666	-3.464712	38.636787
1672	-3.386652	38.776661
1678	-3.322842	38.928619
1684	-3.252069	39.168106
1690	-3.169376	39.320995
1696	-2.971173	39.593803
1702	-2.873362	39.804703
1708	-2.869872	39.917564
1714	-2.660712	40.163208
1720	-2.600479	40.291454
1726	-2.552554	40.516697
1732	-2.434501	40.857979
1738	-2.457598	40.959946
1744	-2.253795	41.283264
1750	-2.142967	41.475224
1756	-2.080057	41.485107
1762	-1.922603	41.78569
1768	-1.827694	42.092239
1774	-1.77831	42.185978
1780	-1.729878	42.217735
1786	-1.699393	42.477516
1792	-1.528838	42.738903
1798	-1.316013	43.033577
1804	-1.264789	43.011074
1810	-1.145907	43.242016
1816	-1.08225	43.439888
1822	-1.000951	43.660339
1828	-0.909988	43.89381
1834	-0.927551	43.953239
1840	-0.736242	44.143288
1846	-0.626208	44.394093
1852	-0.478718	44.58218
1858	-0.373382	44.778191
1864	-0.247794	44.960606
1870	-0.108185	45.141678
1876	-0.002197	45.337353
1882	0.04235	45.501995
1888	0.037788	45.473763
1894	0.313543	45.693104
1900	0.430169	45.934853
1906	0.721433	46.193306
1912	0.758405	46.45042
1918	0.795308	46.715759
1924	0.940049	46.909008
1930	1.024053	46.9566
1936	1.130303	47.07283
1942	1.280313	47.336758
1948	1.415907	47.557636
1954	1.447287	47.781517
1960	1.771575	47.997414
1966	1.949375	48.125973
1972	1.961079	48.199677
1978	2.013983	48.341152
1984	2.074832	48.559013
1990	2.04559	48.658413
1996	2.461243	48.986759
2002	2.461294	48.989048
2008	2.516818	49.16996
2014	2.734901	49.458714
2020	2.89194	49.675835
2026	2.978545	49.759159
2032	3.083042	49.847618
2038	3.262076	50.055168
2044	3.546218	50.172901
2050	3.692832	50.416454
2056	3.733704	50.451839
2062	3.757048	50.615376
2068	3.776839	50.80537
2074	3.967893	50.920113
2080	4.253128	51.150463
2086	4.423823	51.517227
2092	4.465176	51.686272
2098	4.495709	51.512341
2104	4.504579	51.513397
2110	4.961712	51.923332
2116	5.190387	51.73764
2122	5.232065	52.133953
2128	5.230286	52.307117
2134	5.458329	52.486271
2140	5.688228	52.716709
2146	5.936414	52.874374
2152	6.043593	53.088226
2158	6.000741	53.250889
2164	6.165723	53.213089
2170	6.468214	53.307442
2176	6.185691	53.438435
2182	6.469155	53.854565
2188	7.035139	54.122486
2194	6.980888	53.875439
2200	7.113016	54.301758
2206	7.290051	54.362896
2212	7.453378	54.378574
2218	7.671643	54.537621
2224	7.971875	54.945641
2230	7.709728	55.051369
2236	7.730063	55.249401
2242	8.036465	55.344376
2248	8.197216	55.294052
2254	8.313757	55.353725
2260	8.41147	55.365665
2266	8.69876	55.677151
2272	8.412696	55.506794
2278	9.213327	56.071301
2284	9.139625	56.473537
2290	8.946918	55.92046
2296	9.171705	56.654942
2302	9.077335	56.804089
2308	9.379683	56.372257
2314	10.585114	56.960041
2320	9.775293	56.644424
2326	10.662747	57.373314
2332	9.939242	57.477306
2338	11.13055	57.562443
2344	10.423689	57.07423
2350	10.016059	57.408134
2356	10.740019	57.539017
2362	11.547796	57.292976
2368	11.99903	58.072876
2374	12.509791	59.454716
2380	12.026284	59.169796
2386	11.648901	58.764259
2392	11.612935	58.43639
2398	11.650284	58.821373
2404	11.992506	58.609524
2410	12.912374	59.058052
2416	14.106069	59.608204
2422	13.031313	59.346439
2428	13.314608	59.620872
2434	13.816475	59.895157
2440	13.689128	59.34227
2446	14.039225	60.372711
2452	14.70649	59.736183
2458	13.575044	60.890976
2464	13.335944	60.29171
2470	14.13589	60.338619
2476	14.21394	59.731743
2482	15.268573	60.726009
2488	16.631866	61.581825
2494	15.343408	60.761486
2500	15.296291	61.05341
