Spectroscopic Data at 13.069 min.		
Wavelength (nm)	Psi	Delta
998	34.327885	144.572372
999	34.354752	144.507248
1000	34.342163	144.475372
1006	34.367676	144.96759
1012	34.427631	145.169617
1018	34.459648	145.371292
1024	34.502911	145.597946
1030	34.532692	145.825409
1036	34.572041	146.041779
1042	34.605247	146.218079
1048	34.641121	146.448776
1054	34.674267	146.640976
1060	34.702614	146.833862
1066	34.736973	147.001663
1072	34.758053	147.13327
1078	34.759235	147.24144
1084	34.810852	147.487396
1090	34.82373	147.675644
1096	34.843948	147.833878
1102	34.877266	147.976166
1108	34.905434	148.217651
1114	34.958889	148.418701
1120	34.962318	148.58017
1126	34.999413	148.7995
1132	35.033905	148.985443
1138	35.044865	149.174637
1144	35.077744	149.329056
1150	35.114273	149.539764
1156	35.125896	149.7173
1162	35.160431	149.892105
1168	35.180702	150.043961
1174	35.194904	150.165466
1180	35.209057	150.299301
1186	35.231113	150.466461
1192	35.2603	150.632675
1198	35.261284	150.784012
1204	35.2859	150.944992
1210	35.306267	151.07518
1216	35.317425	151.213501
1222	35.334343	151.419632
1228	35.363445	151.522018
1234	35.376621	151.664429
1240	35.403931	151.83667
1246	35.417511	151.987717
1252	35.425991	152.112289
1258	35.455833	152.216614
1264	35.474617	152.373383
1270	35.493073	152.497574
1276	35.484241	152.690247
1282	35.510269	152.829041
1288	35.529335	152.948059
1294	35.534248	153.06694
1300	35.556942	153.160187
1306	35.574211	153.304214
1312	35.593201	153.425247
1318	35.600529	153.524124
1324	35.630344	153.682068
1330	35.62466	153.821762
1336	35.645252	153.944107
1342	35.651653	154.061264
1348	35.678379	154.217499
1354	35.682159	154.310532
1360	35.688812	154.389893
1366	35.706898	154.513092
1372	35.721786	154.64032
1378	35.726154	154.736435
1384	35.745308	154.858902
1390	35.749229	154.995316
1396	35.769825	155.118561
1402	35.777054	155.226196
1408	35.797661	155.33078
1414	35.813152	155.415085
1420	35.820461	155.527786
1426	35.832546	155.631409
1432	35.833122	155.706146
1438	35.832275	155.808044
1444	35.848877	155.924835
1450	35.855385	156.043732
1456	35.866714	156.176575
1462	35.894917	156.221481
1468	35.905903	156.346619
1474	35.899578	156.421555
1480	35.91151	156.48526
1486	35.916817	156.591705
1492	35.925735	156.701874
1498	35.936382	156.812195
1504	35.945339	156.914413
1510	35.951694	157.003342
1516	35.959805	157.082291
1522	35.971497	157.181656
1528	35.984447	157.316879
1534	36.001228	157.410645
1540	36.001991	157.430008
1546	36.004101	157.528854
1552	36.015087	157.62439
1558	36.012535	157.697418
1564	36.020893	157.779175
1570	36.033554	157.880859
1576	36.039772	157.979797
1582	36.040264	158.052063
1588	36.045486	158.11525
1594	36.070992	158.223465
1600	36.089798	158.290771
1606	36.091446	158.371582
1612	36.097542	158.458649
1618	36.104561	158.535553
1624	36.097118	158.632767
1630	36.100895	158.723083
1636	36.121029	158.765747
1642	36.110146	158.817261
1648	36.142708	158.924805
1654	36.138741	158.977982
1660	36.147243	159.06485
1666	36.159798	159.180359
1672	36.161354	159.236496
1678	36.166077	159.293198
1684	36.177753	159.376266
1690	36.180099	159.435928
1696	36.177692	159.551117
1702	36.183563	159.628983
1708	36.193245	159.661179
1714	36.187756	159.768677
1720	36.191456	159.815216
1726	36.205517	159.885483
1732	36.221016	159.999252
1738	36.233047	160.022018
1744	36.236324	160.145172
1750	36.239742	160.215729
1756	36.232887	160.230072
1762	36.240574	160.336517
1768	36.256516	160.43158
1774	36.258976	160.464218
1780	36.256054	160.481171
1786	36.275539	160.551117
1792	36.278812	160.646683
1798	36.280491	160.757202
1804	36.272655	160.761368
1810	36.279724	160.838364
1816	36.290138	160.896713
1822	36.300602	160.96312
1828	36.311184	161.033737
1834	36.318329	161.044113
1840	36.314266	161.122604
1846	36.324505	161.19928
1852	36.325363	161.26825
1858	36.331493	161.33078
1864	36.334412	161.393631
1870	36.335892	161.458374
1876	36.342209	161.519669
1882	36.352081	161.562744
1888	36.350079	161.555939
1894	36.34161	161.652527
1900	36.351219	161.724014
1906	36.345409	161.830215
1912	36.3643	161.88884
1918	36.383797	161.948547
1924	36.386829	162.012955
1930	36.383068	162.037506
1936	36.383217	162.079453
1942	36.39217	162.157623
1948	36.398834	162.224289
1954	36.415218	162.272293
1960	36.404781	162.37088
1966	36.400169	162.42662
1972	36.405483	162.442245
1978	36.41301	162.477585
1984	36.426369	162.527969
1990	36.437351	162.54068
1996	36.429928	162.673172
2002	36.430119	162.673584
2008	36.440849	162.715195
2014	36.447258	162.803955
2020	36.452785	162.868896
2026	36.452805	162.898346
2032	36.451855	162.931747
2038	36.455078	162.998093
2044	36.442608	163.067825
2050	36.451782	163.133514
2056	36.451607	163.146469
2062	36.463589	163.176971
2068	36.478008	163.210922
2074	36.47308	163.26265
2080	36.470959	163.348846
2086	36.488976	163.435379
2092	36.499996	163.468414
2098	36.483303	163.447159
2104	36.482742	163.448868
2110	36.483929	163.590439
2116	36.452133	163.60289
2122	36.482372	163.668655
2128	36.49688	163.69368
2134	36.495907	163.759171
2140	36.499249	163.831924
2146	36.495541	163.897095
2152	36.506042	163.945435
2158	36.522247	163.960632
2164	36.508244	163.983734
2170	36.496223	164.048782
2176	36.525417	164.018112
2182	36.54097	164.122803
2188	36.526978	164.254517
2194	36.510181	164.212906
2200	36.53672	164.291046
2206	36.530773	164.328995
2212	36.522057	164.358795
2218	36.521786	164.416122
2224	36.53701	164.517899
2230	36.56105	164.486816
2236	36.575706	164.514755
2242	36.565315	164.577621
2248	36.551933	164.598465
2254	36.549995	164.625259
2260	36.545338	164.643127
2266	36.554028	164.728378
2272	36.556606	164.660233
2278	36.557014	164.860153
2284	36.592968	164.893753
2290	36.559631	164.798309
2296	36.605511	164.919586
2302	36.622303	164.921005
2308	36.571949	164.921997
2314	36.555622	165.186218
2320	36.572433	165.017914
2326	36.584347	165.242477
2332	36.629204	165.135483
2338	36.576088	165.338806
2344	36.572849	165.171616
2350	36.619873	165.140518
2356	36.593487	165.2724
2362	36.534565	165.380447
2368	36.574741	165.531921
2374	36.657974	165.745087
2380	36.658073	165.641724
