All Layer Optical Constants
Wavelength (nm)	e1, TIN 3 (Lorentz)	e2, TIN 3 (Lorentz)
1162.942017	-2.522187	11.576568
1166.335083	-2.533729	11.626092
1169.728760	-2.545215	11.675641
1173.123047	-2.556646	11.725212
1176.517944	-2.568021	11.774808
1179.913452	-2.579340	11.824427
1183.309692	-2.590606	11.874069
1186.706421	-2.601816	11.923735
1190.103760	-2.612972	11.973421
1193.501709	-2.624074	12.023130
1196.900269	-2.635122	12.072860
1200.299561	-2.646116	12.122613
1203.699341	-2.657058	12.172386
1207.099854	-2.667946	12.222182
1210.500854	-2.678782	12.271997
1213.902588	-2.689566	12.321834
1217.304810	-2.700297	12.371690
1220.707642	-2.710976	12.421565
1224.111084	-2.721604	12.471461
1227.515259	-2.732180	12.521376
1230.920044	-2.742706	12.571311
1234.325317	-2.753180	12.621264
1237.731201	-2.763604	12.671236
1241.137939	-2.773978	12.721228
1244.545044	-2.784302	12.771235
1247.952881	-2.794576	12.821262
1251.361206	-2.804801	12.871306
1254.770264	-2.814976	12.921370
1258.179932	-2.825103	12.971448
1261.590088	-2.835180	13.021544
1265.001099	-2.845210	13.071659
1268.412476	-2.855191	13.121788
1271.824585	-2.865124	13.171935
1275.237305	-2.875010	13.222097
1278.650635	-2.884848	13.272277
1282.064697	-2.894639	13.322472
1285.479248	-2.904383	13.372682
1288.894287	-2.914080	13.422907
1292.310181	-2.923731	13.473148
1295.726563	-2.933336	13.523404
1299.143555	-2.942894	13.573674
1302.561157	-2.952407	13.623960
1305.979370	-2.961875	13.674259
1309.398193	-2.971298	13.724573
1312.817749	-2.980675	13.774902
1316.237915	-2.990008	13.825245
1319.658569	-2.999296	13.875601
1323.079834	-3.008540	13.925970
1326.501831	-3.017740	13.976353
1329.924316	-3.026896	14.026748
1333.347534	-3.036008	14.077158
1336.771240	-3.045077	14.127580
1340.195679	-3.054104	14.178014
1343.620728	-3.063087	14.228461
1347.046387	-3.072027	14.278922
1350.472656	-3.080926	14.329394
1353.899536	-3.089782	14.379878
1357.326904	-3.098596	14.430373
1360.755127	-3.107368	14.480882
1364.183838	-3.116099	14.531402
1367.613037	-3.124788	14.581932
1371.043091	-3.133437	14.632475
1374.473633	-3.142044	14.683028
1377.904785	-3.150611	14.733592
1381.336548	-3.159137	14.784167
1384.768921	-3.167624	14.834753
1388.201904	-3.176070	14.885350
1391.635620	-3.184476	14.935958
1395.069946	-3.192843	14.986576
1398.504761	-3.201171	15.037204
1401.940186	-3.209459	15.087842
1405.376343	-3.217709	15.138490
1408.813110	-3.225920	15.189148
1412.250488	-3.234092	15.239817
1415.688354	-3.242226	15.290493
1419.126953	-3.250322	15.341180
1422.566162	-3.258380	15.391877
1426.005981	-3.266400	15.442582
1429.446411	-3.274383	15.493297
1432.887451	-3.282328	15.544022
1436.329102	-3.290236	15.594753
1439.771362	-3.298108	15.645494
1443.214233	-3.305943	15.696244
1446.657837	-3.313741	15.747004
1450.101929	-3.321503	15.797771
1453.546631	-3.329228	15.848547
1456.992065	-3.336918	15.899331
1460.438110	-3.344573	15.950124
1463.884644	-3.352191	16.000923
1467.331787	-3.359774	16.051731
1470.779663	-3.367322	16.102547
1474.228149	-3.374835	16.153372
1477.677246	-3.382314	16.204203
1481.126953	-3.389758	16.255043
1484.577271	-3.397167	16.305889
1488.028076	-3.404542	16.356743
1491.479736	-3.411883	16.407604
1494.931885	-3.419190	16.458473
1498.384644	-3.426464	16.509350
1501.838135	-3.433704	16.560232
1505.292114	-3.440910	16.611122
1508.746704	-3.448084	16.662018
1512.201904	-3.455224	16.712923
1515.657837	-3.462332	16.763832
1519.114380	-3.469407	16.814751
1522.571533	-3.476450	16.865675
1526.029175	-3.483460	16.916603
1529.487549	-3.490438	16.967539
1532.946533	-3.497385	17.018482
1536.406006	-3.504299	17.069431
1539.866333	-3.511183	17.120388
1543.327148	-3.518034	17.171349
1546.788574	-3.524854	17.222317
1550.250732	-3.531644	17.273291
1553.713257	-3.538402	17.324268
1557.176636	-3.545130	17.375256
1560.640503	-3.551827	17.426247
1564.105103	-3.558493	17.477243
1567.570190	-3.565130	17.528244
1571.036011	-3.571736	17.579254
1574.502441	-3.578312	17.630266
1577.969482	-3.584858	17.681286
1581.437134	-3.591375	17.732311
1584.905396	-3.597863	17.783340
1588.374268	-3.604321	17.834375
1591.843750	-3.610750	17.885416
1595.313843	-3.617150	17.936460
1598.784546	-3.623521	17.987511
1602.255981	-3.629863	18.038567
1605.727905	-3.636177	18.089628
1609.200439	-3.642462	18.140692
1612.673706	-3.648719	18.191763
1616.147583	-3.654948	18.242838
1619.622070	-3.661150	18.293919
1623.097046	-3.667323	18.345003
1626.572876	-3.673469	18.396093
1630.049072	-3.679587	18.447187
1633.526123	-3.685678	18.498285
1637.003662	-3.691741	18.549389
1640.481812	-3.697778	18.600496
1643.960571	-3.703788	18.651608
1647.440063	-3.709771	18.702726
1650.920166	-3.715727	18.753847
1654.400757	-3.721657	18.804972
1657.882080	-3.727560	18.856102
1661.363892	-3.733437	18.907234
1664.846436	-3.739288	18.958374
1668.329712	-3.745114	19.009516
1671.813477	-3.750913	19.060663
1675.297852	-3.756687	19.111813
1678.782837	-3.762435	19.162966
1682.268311	-3.768157	19.214123
1685.754639	-3.773855	19.265287
1689.241577	-3.779527	19.316454
