wavelength_nm,reflectance
646.07,0.30834
646.41,0.30856
646.76,0.30714
647.11,0.31093
647.46,0.31001
647.8,0.30828
648.15,0.30693
648.5,0.3104
648.84,0.31308
649.19,0.31237
649.54,0.31436
649.88,0.30949
650.23,0.31363
650.58,0.31707
650.93,0.31237
651.27,0.3131
651.62,0.31495
651.97,0.31977
652.31,0.31545
652.66,0.31506
653,0.31673
653.35,0.32019
653.7,0.31611
654.04,0.32083
654.39,0.32359
654.74,0.32576
655.08,0.32446
655.43,0.32345
655.77,0.32097
656.12,0.32419
656.47,0.32409
656.81,0.32179
657.16,0.32775
657.5,0.32465
657.85,0.32602
658.2,0.31941
658.54,0.32641
658.89,0.32486
659.23,0.32488
659.58,0.32425
659.92,0.32889
660.27,0.3285
660.62,0.32558
660.96,0.32907
661.31,0.32923
661.65,0.32918
662,0.33121
662.34,0.33024
662.69,0.32746
663.03,0.3286
663.38,0.33077
663.72,0.33088
664.07,0.33655
664.41,0.33712
664.76,0.33415
665.1,0.33469
665.45,0.334
665.79,0.32908
666.14,0.33143
666.48,0.32826
666.83,0.33046
667.17,0.33262
667.52,0.33133
667.86,0.32999
668.21,0.3342
668.55,0.3328
668.89,0.33512
669.24,0.33551
669.58,0.33386
669.93,0.33846
670.27,0.33111
670.62,0.33138
670.96,0.32586
671.3,0.33565
671.65,0.32804
671.99,0.32984
672.34,0.32621
672.68,0.32873
673.02,0.32598
673.37,0.32231
673.71,0.32978
674.06,0.3316
674.4,0.32709
674.74,0.32623
675.09,0.33431
675.43,0.32532
675.77,0.32789
676.12,0.3257
676.46,0.32473
676.8,0.3249
677.15,0.3203
677.49,0.32105
677.83,0.31806
678.18,0.32471
678.52,0.31714
678.86,0.31611
679.21,0.31805
679.55,0.3187
679.89,0.31633
680.23,0.31921
680.58,0.31901
680.92,0.31308
681.26,0.3218
681.61,0.31711
681.95,0.3132
682.29,0.3169
682.63,0.31371
682.98,0.31322
683.32,0.31402
683.66,0.31362
684,0.31346
684.35,0.30834
684.69,0.3119
685.03,0.31176
685.37,0.30812
685.71,0.31035
686.06,0.31028
686.4,0.31247
686.74,0.31001
687.08,0.31358
