wavelength_nm,frequency_thz,theta_air_raw_deg,theta_prism_deg,observed_r0_reflectance_fraction,package_static_prediction_fraction,residual_prediction_minus_observed,absolute_residual,power_norm_std,prepump_rows,delay_min_ps,delay_max_ps,in_figure2_plotted_window
1190,251.926435294,38,40.3397973986,0.018784983013,0.0411109128569,0.0223259298439,0.0223259298439,0.00137389489864,11,-0.6,-0.4,false
1190,251.926435294,39,41.0040682498,0.0159139206317,0.0390537442793,0.0231398236475,0.0231398236475,0.00121036512283,11,-0.6,-0.4,false
1190,251.926435294,40,41.6690197955,0.0142560896577,0.0362873970991,0.0220313074414,0.0220313074414,0.00114092917683,11,-0.6,-0.4,false
1190,251.926435294,41,42.3345376402,0.0110444456094,0.0325400590587,0.0214956134493,0.0214956134493,0.000832988330448,11,-0.6,-0.4,false
1190,251.926435294,42,43.0005079045,0.00846906060038,0.0273383648866,0.0188693042862,0.0188693042862,0.000722954897692,11,-0.6,-0.4,true
1190,251.926435294,43,43.6668171225,0.00875021988144,0.0196628386693,0.0109126187879,0.0109126187879,0.000822373897866,11,-0.6,-0.4,true
1190,251.926435294,44,44.3333521377,0.0239570150029,0.00485579364151,-0.0191012213614,0.0191012213614,0.00126659063703,11,-0.6,-0.4,true
1190,251.926435294,45,45,0.0355644791374,0.0162342216684,-0.0193302574689,0.0193302574689,0.00127338687111,11,-0.6,-0.4,true
1190,251.926435294,46,45.6666478623,0.0484880749174,0.0355977170892,-0.0128903578282,0.0128903578282,0.000931893094839,11,-0.6,-0.4,true
1190,251.926435294,47,46.3331828775,0.0643929927528,0.0554656080253,-0.00892738472749,0.00892738472749,0.000845835962851,11,-0.6,-0.4,true
1190,251.926435294,48,46.9994920955,0.0784552271425,0.0753420553137,-0.00311317182876,0.00311317182876,0.00129285406638,11,-0.6,-0.4,true
1190,251.926435294,49,47.6654623598,0.0928379006251,0.0950217953867,0.00218389476163,0.00218389476163,0.00125842426625,11,-0.6,-0.4,true
1190,251.926435294,50,48.3309802045,0.10750434182,0.11440209489,0.00689775307026,0.00689775307026,0.00106902717007,11,-0.6,-0.4,true
1190,251.926435294,51,48.9959317502,0.120648006569,0.133429094003,0.0127810874346,0.0127810874346,0.0017799110427,11,-0.6,-0.4,true
1190,251.926435294,52,49.6602026014,0.136835558688,0.152075788967,0.0152402302797,0.0152402302797,0.00162480279632,11,-0.6,-0.4,true
1190,251.926435294,53,50.3236777414,0.146639858158,0.1703311206,0.0236912624418,0.0236912624418,0.0029452860885,11,-0.6,-0.4,true
1190,251.926435294,54,50.9862414289,0.156634621679,0.188193908921,0.0315592872417,0.0315592872417,0.00164015928898,11,-0.6,-0.4,false
1190,251.926435294,55,51.6477770928,0.168800072884,0.205669218821,0.036869145937,0.036869145937,0.00126709956581,11,-0.6,-0.4,false
1190,251.926435294,56,52.3081672277,0.178177909686,0.222766068473,0.0445881587876,0.0445881587876,0.00134972473577,11,-0.6,-0.4,false
1190,251.926435294,57,52.9672932881,0.189436713629,0.239495932582,0.0500592189525,0.0500592189525,0.00143836683399,11,-0.6,-0.4,false
1190,251.926435294,58,53.6250355825,0.197165936045,0.255871740866,0.0587058048212,0.0587058048212,0.00131612291884,11,-0.6,-0.4,false
1190,251.926435294,59,54.2812731675,0.208000494035,0.271907197229,0.0639067031945,0.0639067031945,0.00198271006317,11,-0.6,-0.4,false
