Wavelength,TiN real part of permittivity,Wavelength,AZO real part of permittivity,Wavelength,TiN imaginary part of permittivity,Wavelength,AZO imaginary part of permittivity
nm,,nm,,nm,,nm,
Film thickness 130 nm,,Film thickness 250 nm,,,,,
2000,-94.5364581,2000,-3.77856128,2000,37.8860949,2000,1.6210297
2010,-95.4498211,,,2010,38.361307,,
2020,-96.3660995,,,2020,38.8402998,,
2030,-97.2852733,,,2030,39.3230806,,
2040,-98.2073227,,,2040,39.8096566,,
2050,-99.1322276,,,2050,40.300035,,
2060,-100.059968,,,2060,40.7942228,,
2070,-100.990525,,,2070,41.2922268,,
2080,-101.923877,,,2080,41.7940537,,
2090,-102.860004,,,2090,42.2997102,,
2100,-103.798888,,,2100,42.8092028,,
