Opt. Const. of TiN (Lorentz) vs. nm
Wavelength (nm)	e1	e2
764.000000	-6.486071	9.209591	
765.000000	-6.516479	9.234735	
766.000000	-6.546886	9.259931	
767.000000	-6.577291	9.285177	
768.000000	-6.607693	9.310475	
769.000000	-6.638093	9.335826	
770.000000	-6.668491	9.361226	
771.000000	-6.698887	9.386679	
772.000000	-6.729280	9.412181	
773.000000	-6.759672	9.437736	
774.000000	-6.790061	9.463340	
775.000000	-6.820446	9.488996	
776.000000	-6.850830	9.514702	
777.000000	-6.881211	9.540459	
778.000000	-6.911590	9.566266	
779.000000	-6.941966	9.592124	
780.000000	-6.972339	9.618032	
781.000000	-7.002708	9.643991	
782.000000	-7.033076	9.669999	
783.000000	-7.063440	9.696057	
784.000000	-7.093802	9.722167	
785.000000	-7.124160	9.748325	
786.000000	-7.154516	9.774534	
787.000000	-7.184868	9.800793	
788.000000	-7.215217	9.827101	
789.000000	-7.245563	9.853458	
790.000000	-7.275905	9.879867	
791.000000	-7.306244	9.906323	
792.000000	-7.336580	9.932830	
793.000000	-7.366912	9.959385	
794.000000	-7.397241	9.985991	
795.000000	-7.427567	10.012645	
796.000000	-7.457888	10.039348	
797.000000	-7.488206	10.066100	
798.000000	-7.518520	10.092901	
799.000000	-7.548831	10.119751	
800.000000	-7.579137	10.146650	
801.000000	-7.609440	10.173597	
802.000000	-7.639739	10.200594	
803.000000	-7.670034	10.227639	
804.000000	-7.700325	10.254732	
805.000000	-7.730612	10.281874	
806.000000	-7.760895	10.309064	
807.000000	-7.791173	10.336302	
808.000000	-7.821447	10.363588	
809.000000	-7.851717	10.390924	
810.000000	-7.881983	10.418306	
811.000000	-7.912244	10.445737	
812.000000	-7.942501	10.473215	
813.000000	-7.972754	10.500741	
814.000000	-8.003001	10.528316	
815.000000	-8.033245	10.555937	
816.000000	-8.063483	10.583607	
817.000000	-8.093717	10.611323	
818.000000	-8.123946	10.639088	
819.000000	-8.154171	10.666899	
820.000000	-8.184390	10.694758	
821.000000	-8.214604	10.722664	
822.000000	-8.244814	10.750617	
823.000000	-8.275019	10.778618	
824.000000	-8.305219	10.806665	
825.000000	-8.335413	10.834760	
826.000000	-8.365602	10.862901	
827.000000	-8.395786	10.891088	
828.000000	-8.425965	10.919323	
829.000000	-8.456139	10.947604	
830.000000	-8.486307	10.975932	
831.000000	-8.516470	11.004307	
832.000000	-8.546628	11.032727	
833.000000	-8.576779	11.061194	
834.000000	-8.606926	11.089707	
835.000000	-8.637067	11.118267	
836.000000	-8.667202	11.146873	
837.000000	-8.697331	11.175525	
838.000000	-8.727455	11.204223	
839.000000	-8.757573	11.232966	
840.000000	-8.787684	11.261756	
841.000000	-8.817791	11.290591	
842.000000	-8.847891	11.319472	
843.000000	-8.877985	11.348398	
844.000000	-8.908073	11.377371	
845.000000	-8.938155	11.406388	
846.000000	-8.968231	11.435452	
847.000000	-8.998302	11.464560	
848.000000	-9.028365	11.493713	
849.000000	-9.058422	11.522913	
850.000000	-9.088473	11.552156	
851.000000	-9.118518	11.581446	
852.000000	-9.148556	11.610780	
853.000000	-9.178588	11.640160	
854.000000	-9.208612	11.669583	
855.000000	-9.238631	11.699052	
856.000000	-9.268643	11.728565	
857.000000	-9.298649	11.758123	
858.000000	-9.328648	11.787726	
859.000000	-9.358640	11.817374	
860.000000	-9.388624	11.847066	
861.000000	-9.418603	11.876801	
862.000000	-9.448574	11.906582	
863.000000	-9.478539	11.936407	
864.000000	-9.508496	11.966275	
865.000000	-9.538446	11.996188	
866.000000	-9.568390	12.026145	
867.000000	-9.598327	12.056147	
868.000000	-9.628255	12.086191	
869.000000	-9.658177	12.116280	
870.000000	-9.688091	12.146412	
871.000000	-9.717999	12.176588	
872.000000	-9.747899	12.206808	
873.000000	-9.777792	12.237071	
874.000000	-9.807676	12.267378	
875.000000	-9.837554	12.297729	
876.000000	-9.867424	12.328122	
877.000000	-9.897287	12.358559	
878.000000	-9.927142	12.389039	
879.000000	-9.956989	12.419562	
880.000000	-9.986829	12.450129	
881.000000	-10.016661	12.480739	
882.000000	-10.046484	12.511391	
883.000000	-10.076301	12.542086	
884.000000	-10.106109	12.572824	
885.000000	-10.135909	12.603604	
886.000000	-10.165702	12.634428	
887.000000	-10.195486	12.665295	
888.000000	-10.225262	12.696203	
889.000000	-10.255031	12.727154	
890.000000	-10.284790	12.758147	
891.000000	-10.314542	12.789184	
892.000000	-10.344286	12.820262	
893.000000	-10.374022	12.851382	
894.000000	-10.403749	12.882545	
895.000000	-10.433467	12.913750	
896.000000	-10.463177	12.944996	
897.000000	-10.492879	12.976285	
898.000000	-10.522573	13.007615	
899.000000	-10.552257	13.038988	
900.000000	-10.581933	13.070402	
901.000000	-10.611601	13.101858	
902.000000	-10.641259	13.133355	
903.000000	-10.670910	13.164894	
904.000000	-10.700551	13.196475	
905.000000	-10.730184	13.228097	
906.000000	-10.759808	13.259761	
907.000000	-10.789423	13.291465	
908.000000	-10.819029	13.323211	
909.000000	-10.848626	13.354998	
910.000000	-10.878214	13.386827	
911.000000	-10.907793	13.418695	
912.000000	-10.937363	13.450605	
913.000000	-10.966924	13.482557	
914.000000	-10.996475	13.514549	
915.000000	-11.026018	13.546581	
916.000000	-11.055552	13.578655	
917.000000	-11.085075	13.610769	
918.000000	-11.114591	13.642924	
919.000000	-11.144095	13.675119	
920.000000	-11.173592	13.707355	
921.000000	-11.203078	13.739632	
922.000000	-11.232555	13.771948	
923.000000	-11.262023	13.804304	
924.000000	-11.291481	13.836701	
925.000000	-11.320929	13.869139	
926.000000	-11.350368	13.901616	
927.000000	-11.379797	13.934133	
928.000000	-11.409216	13.966690	
929.000000	-11.438625	13.999288	
930.000000	-11.468025	14.031924	
931.000000	-11.497416	14.064601	
932.000000	-11.526795	14.097317	
933.000000	-11.556166	14.130073	
934.000000	-11.585526	14.162868	
935.000000	-11.614876	14.195704	
936.000000	-11.644217	14.228578	
937.000000	-11.673547	14.261492	
938.000000	-11.702867	14.294445	
939.000000	-11.732177	14.327437	
940.000000	-11.761477	14.360469	
941.000000	-11.790766	14.393540	
942.000000	-11.820045	14.426650	
943.000000	-11.849315	14.459799	
944.000000	-11.878573	14.492987	
945.000000	-11.907822	14.526213	
946.000000	-11.937059	14.559479	
947.000000	-11.966287	14.592783	
948.000000	-11.995504	14.626125	
949.000000	-12.024711	14.659508	
950.000000	-12.053906	14.692927	
951.000000	-12.083092	14.726386	
952.000000	-12.112267	14.759883	
953.000000	-12.141431	14.793419	
954.000000	-12.170585	14.826992	
955.000000	-12.199727	14.860604	
956.000000	-12.228859	14.894255	
957.000000	-12.257980	14.927943	
958.000000	-12.287090	14.961669	
959.000000	-12.316190	14.995434	
960.000000	-12.345279	15.029236	
961.000000	-12.374356	15.063076	
962.000000	-12.403423	15.096954	
963.000000	-12.432479	15.130870	
964.000000	-12.461523	15.164824	
965.000000	-12.490557	15.198815	
966.000000	-12.519580	15.232843	
967.000000	-12.548591	15.266910	
968.000000	-12.577591	15.301014	
969.000000	-12.606580	15.335155	
970.000000	-12.635557	15.369333	
971.000000	-12.664524	15.403549	
972.000000	-12.693480	15.437802	
973.000000	-12.722423	15.472092	
974.000000	-12.751355	15.506419	
975.000000	-12.780276	15.540783	
976.000000	-12.809186	15.575185	
977.000000	-12.838083	15.609622	
978.000000	-12.866970	15.644097	
979.000000	-12.895845	15.678609	
980.000000	-12.924708	15.713158	
981.000000	-12.953560	15.747743	
982.000000	-12.982400	15.782364	
983.000000	-13.011229	15.817022	
984.000000	-13.040046	15.851717	
985.000000	-13.068851	15.886448	
986.000000	-13.097644	15.921215	
987.000000	-13.126425	15.956019	
988.000000	-13.155194	15.990859	
989.000000	-13.183952	16.025736	
990.000000	-13.212698	16.060648	
991.000000	-13.241432	16.095596	
992.000000	-13.270154	16.130581	
993.000000	-13.298863	16.165600	
994.000000	-13.327561	16.200657	
995.000000	-13.356248	16.235748	
996.000000	-13.384921	16.270876	
997.000000	-13.413583	16.306040	
998.000000	-13.442232	16.341238	
999.000000	-13.470870	16.376472	
1000.000000	-13.499495	16.411743	
1006.000000	-13.670987	16.624107	
1012.000000	-13.842031	16.837734	
1018.000000	-14.012623	17.052612	
1024.000000	-14.182755	17.268728	
1030.000000	-14.352421	17.486071	
1036.000000	-14.521614	17.704626	
1042.000000	-14.690331	17.924381	
1048.000000	-14.858565	18.145325	
1054.000000	-15.026311	18.367445	
1060.000000	-15.193563	18.590729	
1066.000000	-15.360315	18.815163	
1072.000000	-15.526564	19.040737	
1078.000000	-15.692304	19.267439	
1084.000000	-15.857531	19.495256	
1090.000000	-16.022240	19.724176	
1096.000000	-16.186424	19.954187	
1102.000000	-16.350084	20.185278	
1108.000000	-16.513212	20.417439	
1114.000000	-16.675804	20.650654	
1120.000000	-16.837858	20.884914	
1126.000000	-16.999369	21.120209	
1132.000000	-17.160332	21.356525	
1138.000000	-17.320747	21.593853	
1144.000000	-17.480606	21.832180	
1150.000000	-17.639910	22.071495	
1156.000000	-17.798655	22.311787	
1162.000000	-17.956835	22.553043	
1168.000000	-18.114449	22.795258	
1174.000000	-18.271494	23.038416	
1180.000000	-18.427967	23.282507	
1186.000000	-18.583866	23.527521	
1192.000000	-18.739189	23.773447	
1198.000000	-18.893934	24.020275	
1204.000000	-19.048096	24.267994	
1210.000000	-19.201675	24.516592	
