wvl ( nm)	e1	e2
1315,596825	1,067091	24,346952
1315,966816	1,071332	24,354465
1316,634724	1,079009	24,368046
1317,30471	1,086703	24,381636
1317,973976	1,094411	24,395226
1318,643924	1,102136	24,408825
1319,028259	1,106567	24,416613
1319,314552	1,109874	24,422422
1319,987269	1,117627	24,436026
1320,659265	1,125397	24,449633
1321,331945	1,133183	24,463245
1322,006721	1,140983	24,476862
1322,459305	1,146239	24,486025
1322,680775	1,1488	24,490484
1323,355517	1,15663	24,504105
1324,032362	1,164477	24,517735
1324,708484	1,172336	24,531361
1325,385297	1,180215	24,544998
1325,892652	1,186109	24,555187
1326,062802	1,188106	24,558636
1326,742419	1,196016	24,572281
1327,421313	1,203937	24,585924
1328,102324	1,211878	24,599577
1328,78261	1,219829	24,613226
1329,323921	1,22617	24,624096
1329,463594	1,2278	24,626886
1330,145275	1,235785	24,640547
1330,829085	1,243786	24,654215
1331,512168	1,251801	24,667883
1332,195953	1,259833	24,681555
1332,757238	1,26642	24,692751
1332,881873	1,26788	24,69523
1333,567066	1,275941	24,708908
1334,252964	1,284018	24,722589
1334,941004	1,292113	24,736279
1335,628316	1,300221	24,749966
1336,191058	1,306857	24,761152
1336,316336	1,308346	24,763662
1337,006507	1,316486	24,777357
1337,695948	1,324639	24,791056
1338,386101	1,332811	24,804758
1339,076966	1,340998	24,818466
1339,623803	1,347474	24,829294
1339,769992	1,349199	24,832176
1340,462287	1,357417	24,84589
1341,155297	1,36565	24,859606
1341,850477	1,373899	24,873327
1342,544924	1,382161	24,887047
1343,05823	1,38827	24,897177
1343,24009	1,390442	24,900774
1343,937433	1,398737	24,914503
1344,634043	1,407049	24,928238
1345,331375	1,415375	24,941973
1346,030891	1,423718	24,955713
1346,492766	1,429241	24,964796
1346,729673	1,432075	24,969454
1347,429181	1,440447	24,983196
1348,129416	1,448836	24,996944
1348,831846	1,457241	25,010696
1349,53354	1,465661	25,02445
1349,927278	1,470385	25,032156
1350,237435	1,474099	25,03821
1350,940592	1,482549	25,051968
1351,644483	1,491016	25,065729
1352,349107	1,499497	25,079493
1353,055942	1,507998	25,093264
1353,363107	1,511697	25,099249
1353,762039	1,51651	25,107033
1354,468873	1,525042	25,12081
1355,177927	1,533587	25,134584
1355,886241	1,542149	25,148367
1356,595296	1,550723	25,162146
1356,798655	1,553173	25,166077
1357,306578	1,559317	25,175932
1358,01712	1,567925	25,189718
1358,728406	1,576551	25,203512
1359,440437	1,585189	25,217302
1360,154707	1,593846	25,2311
1360,233785	1,594813	25,232639
1360,868234	1,602517	25,244898
1361,58251	1,611203	25,258698
1362,299033	1,619905	25,272499
1363,014813	1,628624	25,286306
1363,669856	1,63661	25,298931
1363,731345	1,637358	25,300114
1364,450132	1,646109	25,313927
1365,168174	1,654874	25,32774
1365,886973	1,663654	25,341553
1366,606529	1,672451	25,35537
1367,10675	1,678563	25,364956
1367,328351	1,681266	25,369192
1368,049426	1,690094	25,383015
1368,772774	1,69894	25,396843
