wavelength_nm,frequency_thz,theta_air_raw_deg,theta_prism_deg,r0_reflectance_fraction,power_norm_std,prepump_rows,delay_min_ps,delay_max_ps
1180.0,254.06140508474573,45.0,45.0,0.050000771648673364,0.0010799046762409094,11.0,-0.6,-0.4
1180.0,254.06140508474573,46.0,45.66664786226304,0.06641549668200014,0.0013155596164157082,11.0,-0.6,-0.4
1180.0,254.06140508474573,47.0,46.33318287748258,0.08399684407823961,0.0013477045341531173,11.0,-0.6,-0.4
1180.0,254.06140508474573,48.0,46.999492095494176,0.10062269528823566,0.0011665869853605831,11.0,-0.6,-0.4
1180.0,254.06140508474573,49.0,47.66546235983483,0.11408165277404794,0.0018390722282625475,11.0,-0.6,-0.4
1180.0,254.06140508474573,50.0,48.33098020445266,0.1287343528324005,0.001001327762919124,11.0,-0.6,-0.4
1180.0,254.06140508474573,51.0,48.99593175024939,0.14287150947917257,0.001573691929901156,11.0,-0.6,-0.4
1180.0,254.06140508474573,52.0,49.66020260140331,0.1571135301975525,0.0022445095453433326,11.0,-0.6,-0.4
1180.0,254.06140508474573,53.0,50.32367774142317,0.16966228139357611,0.0010288637020293156,11.0,-0.6,-0.4
1180.0,254.06140508474573,54.0,50.98624142888759,0.1793416848884837,0.001330822805946895,11.0,-0.6,-0.4
1180.0,254.06140508474573,55.0,51.64777709282861,0.19100312678784084,0.0018960058933056244,11.0,-0.6,-0.4
1180.0,254.06140508474573,56.0,52.30816722772388,0.20336504983901246,0.0019688747698758985,11.0,-0.6,-0.4
1180.0,254.06140508474573,57.0,52.96729328806785,0.21908708479137895,0.002132420693928638,11.0,-0.6,-0.4
1180.0,254.06140508474573,58.0,53.62503558250019,0.22211122196796207,0.0024210877830031317,11.0,-0.6,-0.4
1180.0,254.06140508474573,59.0,54.28127316747721,0.2309960266986679,0.0013800346616279113,11.0,-0.6,-0.4
1180.0,254.06140508474573,60.0,54.93588374048224,0.2326370075614004,0.0016687676629446953,11.0,-0.6,-0.4
1190.0,251.92643529411762,35.0,38.35222290717139,0.023883489697273472,0.0008661000058186505,11.0,-0.6,-0.4
1190.0,251.92643529411762,36.0,39.01375857111241,0.02191091981064692,0.0007810031585370567,11.0,-0.6,-0.4
1190.0,251.92643529411762,37.0,39.67632225857683,0.02023774692557839,0.001207281754788483,11.0,-0.6,-0.4
1190.0,251.92643529411762,38.0,40.33979739859669,0.01878498301300484,0.0013738948986442678,11.0,-0.6,-0.4
1190.0,251.92643529411762,39.0,41.00406824975061,0.015913920631736814,0.0012103651228274875,11.0,-0.6,-0.4
1190.0,251.92643529411762,40.0,41.66901979554734,0.014256089657677077,0.0011409291768306516,11.0,-0.6,-0.4
1190.0,251.92643529411762,41.0,42.33453764016517,0.011044445609398976,0.0008329883304479851,11.0,-0.6,-0.4
1190.0,251.92643529411762,42.0,43.000507904505824,0.008469060600376034,0.0007229548976921599,11.0,-0.6,-0.4
1190.0,251.92643529411762,43.0,43.66681712251742,0.008750219881436212,0.0008223738978663065,11.0,-0.6,-0.4
1190.0,251.92643529411762,44.0,44.33335213773696,0.023957015002940226,0.001266590637033111,11.0,-0.6,-0.4
1190.0,251.92643529411762,45.0,45.0,0.03556447913735235,0.001273386871105321,11.0,-0.6,-0.4
1190.0,251.92643529411762,46.0,45.66664786226304,0.04848807491742447,0.0009318930948387896,11.0,-0.6,-0.4
1190.0,251.92643529411762,47.0,46.33318287748258,0.06439299275281994,0.0008458359628508102,11.0,-0.6,-0.4
